Mosteiro	B-OBRA_ARTE
antes	I-TEMPO_TEMPO_CALEND
da	O
assinatura	O
do	O
Tratado	B-OBRA_PLANO
de	I-OBRA_PLANO
Lisboa	I-OBRA_PLANO
,	O
na	O
capital	O
portuguesa.	O
Os	O
três	O
salientaram	O
o	B-TEMPO_GENERICO
``	I-TEMPO_GENERICO
dia	I-TEMPO_GENERICO
histórico	I-TEMPO_GENERICO
''	I-TEMPO_GENERICO
para	O
os	O
cidadãos	O
europeus	O
e	O
também	O
o	O
``	O
desafio	O
quotidiano	O
''	O
e	O
o	O
``	O
compromisso	O
das	O
instituições	O
europeias	O
''	O
de	O
respeitar	O
e	O
promover	O
os	O
direitos	O
e	O
valores	O
fundamentais.	O
''	O
Trata-se	O
de	B-TEMPO_GENERICO
um	I-TEMPO_GENERICO
dia	I-TEMPO_GENERICO
feliz	O
para	O
as	O
cidadãs	O
e	O
os	O
cidadãos	O
da	O
União	B-LOCAL_HUMANO
Europeia	I-LOCAL_HUMANO
``	O
,	O
em	O
que	O
se	O
festejam	O
``	O
os	O
nossos	O
valores	O
comuns	O
''	O
,	O
afirmou	O
o	O
Presidente	B-PESSOA_CARGO
do	O
Parlamento	B-ORGANIZACAO_ADMINISTRACAO
Europeu	I-ORGANIZACAO_ADMINISTRACAO
,	O
Hans-Gert	B-PESSOA_INDIVIDUAL
PÖTTERING	I-PESSOA_INDIVIDUAL
,	O
no	O
discurso	O
que	O
antecedeu	O
a	O
assinatura	O
da	O
Carta	B-OBRA_PLANO
dos	I-OBRA_PLANO
Direitos	I-OBRA_PLANO
Fundamentais	I-OBRA_PLANO
da	O
União	B-ORGANIZACAO_ADMINISTRACAO
Europeia	I-ORGANIZACAO_ADMINISTRACAO
.	O
Relembrando	O
o	O
``	O
caminho	O
significativo	O
''	O
que	O
foi	O
necessário	O
percorrer	O
até	O
chegar	O
a	B-TEMPO_GENERICO
este	I-TEMPO_GENERICO
momento	I-TEMPO_GENERICO
,	O
afirmou	O
que	O
``	O
os	O
ensinamentos	O
da	O
história	O
da	O
Europa	B-LOCAL_HUMANO
foram	O
tomados	O
em	O
consideração	O
''	O
,	O
num	O
documento	O
que	O
garante	O
``	O
valores	O
como	O
a	O
liberdade	O
e	O
a	O
segurança	O
''	O
.	O
''	O
Com	O
a	O
proclamação	O
da	O
Carta	B-OBRA_PLANO
,	O
temos	O
a	O
obrigação	O
e	O
a	O
oportunidade	O
de	O
dar	O
aos	O
quase	B-VALOR_QUANTIDADE
500	I-VALOR_QUANTIDADE
milhões	I-VALOR_QUANTIDADE
de	O
cidadãos	O
a	O
ideia	O
de	O
uma	O
Europa	B-LOCAL_HUMANO
unida.	O
Somos	O
essencialmente	O
uma	O
comunidade	O
de	O
valores	O
--	O
são	O
estes	O
valores	O
comuns	O
que	O
constituem	O
o	O
fundamento	O
da	O
União	B-ABSTRACCAO_IDEIA
Europeia	I-ABSTRACCAO_IDEIA
``	O
,	O
declarou.	O
Hans-Gert	B-PESSOA_INDIVIDUAL
PÖTTERING	I-PESSOA_INDIVIDUAL
destacou	O
ainda	O
a	O
importância	O
,	O
para	O
o	O
PE	B-ORGANIZACAO_ADMINISTRACAO
,	O
de	O
ver	O
reconhecido	O
o	O
valor	O
juridicamente	O
vinculativo	O
da	O
Carta	B-OBRA_PLANO
,	O
um	O
passo	O
``	O
essencial	O
no	O
quadro	O
de	O
reforma	O
dos	O
Tratados	B-OBRA_PLANO
e	O
essencial	O
para	O
a	O
identidade	O
europeia	O
''	O
.	O
''	O
Sem	O
estes	O
valores	O
,	O
a	O
União	B-ABSTRACCAO_IDEIA
Europeia	I-ABSTRACCAO_IDEIA
não	O
teria	O
futuro	O
''	O
.	O
Dentro	O
e	O
fora	O
da	O
Europa	B-LOCAL_HUMANO
,	O
``	O
temos	O
o	O
dever	O
de	O
sempre	O
defender	O
a	O
dignidade	O
e	O
os	O
direitos	O
humanos	O
''	O
,	O
concluiu.	O
Também	O
o	O
Presidente	B-PESSOA_CARGO
em	O
exercício	O
do	O
Conselho	B-ORGANIZACAO_ADMINISTRACAO
da	O
UE	B-ORGANIZACAO_ADMINISTRACAO
José	B-PESSOA_INDIVIDUAL
SÓCRATES	I-PESSOA_INDIVIDUAL
,	O
destacou	O
o	B-TEMPO_GENERICO
dia	I-TEMPO_GENERICO
de	I-TEMPO_GENERICO
hoje	I-TEMPO_GENERICO
como	O
``	O
uma	O
data	O
fundamental	O
na	O
história	O
da	O
integração	O
europeia	O
''	O
.	O
``	O
A	B-TEMPO_TEMPO_CALEND
partir	I-TEMPO_TEMPO_CALEND
de	I-TEMPO_TEMPO_CALEND
hoje	I-TEMPO_TEMPO_CALEND
,	O
e	O
talvez	O
para	O
incómodo	O
de	O
alguns	O
,	O
os	O
direitos	O
fundamentais	O
passam	O
formalmente	O
,	O
e	O
de	O
forma	O
irreversível	O
,	O
a	O
fazer	O
parte	O
do	O
património	O
comum	O
da	O
UE	B-ORGANIZACAO_ADMINISTRACAO
.	O
Um	O
património	O
ético	O
,	O
de	O
cidadania	O
e	O
do	O
melhor	O
que	O
há	O
na	O
civilização	O
europeia	O
!	O
''	O
,	O
afirmou	O
o	O
Primeiro-Ministro	B-PESSOA_CARGO
português.	O
Manifestando-se	O
``	O
muito	O
honrado	O
como	O
europeu	O
e	O
como	O
português	O
''	O
por	O
participar	O
na	O
cerimónia	O
de	O
proclamação	O
da	O
Carta	B-OBRA_PLANO
dos	I-OBRA_PLANO
Direitos	I-OBRA_PLANO
Fundamentais	I-OBRA_PLANO
da	O
UE	B-ORGANIZACAO_ADMINISTRACAO
--	O
que	O
definiu	O
como	O
``	O
a	O
mais	O
importante	O
de	O
toda	O
a	O
carreira	O
política	O
''	O
--	O
SÓCRATES	B-PESSOA_INDIVIDUAL
salientou	O
ainda	O
o	O
compromisso	O
assumido	O
pelas	O
três	O
instituições	O
--	O
PE	B-ORGANIZACAO_ADMINISTRACAO
,	O
Conselho	B-ORGANIZACAO_ADMINISTRACAO
e	O
Comissão	B-ORGANIZACAO_ADMINISTRACAO
--	O
de	O
que	O
``	O
os	O
valores	O
fundamentais	O
serão	O
respeitados	O
e	O
aplicados	O
''	O
.	O
A	O
Carta	B-OBRA_PLANO
``	O
representa	O
um	O
compromisso	O
das	O
instituições	O
da	O
União	B-ORGANIZACAO_ADMINISTRACAO
de	O
a	O
respeitarem	O
e	O
aplicarem	O
quotidianamente	B-TEMPO_FREQUENCIA
.	O
Só	O
assim	O
seremos	O
dignos	O
herdeiros	O
do	O
que	O
há	O
de	O
melhor	O
na	O
nossa	O
identidade	O
colectiva	O
e	O
tradição	O
comum	O
de	O
uma	O
Europa	B-ORGANIZACAO_ADMINISTRACAO
que	O
honra	O
os	O
direitos	O
e	O
as	O
garantias	O
dos	O
cidadãos	O
''	O
.	O
Para	O
SÓCRATES	B-PESSOA_INDIVIDUAL
,	O
esta	O
Carta	B-OBRA_PLANO
``	O
vai	O
para	O
além	O
''	O
dos	O
cidadãos	O
da	O
UE	B-LOCAL_HUMANO
,	O
representando	O
``	O
um	O
esteio	O
fundamental	O
da	O
convicção	O
de	O
um	O
mundo	O
melhor	O
e	O
de	O
que	O
os	O
direitos	O
são	O
universalmente	O
respeitados	O
''	O
.	O
Expressando	O
ainda	O
a	O
``	O
honra	O
''	O
por	O
Portugal	B-ORGANIZACAO_ADMINISTRACAO
ficar	O
associado	O
a	O
``	O
uma	O
importante	O
etapa	O
da	O
cidadania	O
europeia	O
''	O
--	O
foi	O
durante	O
a	O
Presidência	B-ACONTECIMENTO_ORGANIZADO
em	B-TEMPO_TEMPO_CALEND
2000	I-TEMPO_TEMPO_CALEND
que	O
se	O
iniciou	O
a	O
Convenção	B-OBRA_PLANO
que	O
deu	O
origem	O
à	O
Carta	B-OBRA_PLANO
e	O
é	O
durante	O
a	O
actual	O
Presidência	B-ACONTECIMENTO_ORGANIZADO
que	O
a	O
Carta	B-OBRA_PLANO
é	O
proclamada	O
--	O
SÓCRATES	B-PESSOA_INDIVIDUAL
alertou	O
,	O
no	O
entanto	O
,	O
para	O
o	O
facto	O
de	O
a	O
tarefa	O
ainda	O
não	O
estar	O
acabada.	O
''	O
O	O
combate	O
pelos	O
direitos	O
fundamentais	O
é	O
uma	O
tarefa	O
quotidiana	O
,	O
uma	O
tarefa	O
sem	O
fim	O
,	O
dos	O
Estados	B-ORGANIZACAO_ADMINISTRACAO
,	O
das	O
sociedades	O
civis	O
,	O
das	O
empresas	O
,	O
dos	O
sindicatos	O
,	O
dos	O
cidadãos.	O
A	O
sua	O
defesa	O
é	O
o	O
reconhecimento	O
de	O
um	O
valor	O
essencial	O
à	O
identidade	O
europeia	O
,	O
faz	O
parte	O
do	O
nosso	O
código	O
genético	O
,	O
e	O
esta	O
é	O
a	O
Europa	B-ORGANIZACAO_ADMINISTRACAO
a	O
que	O
eu	O
quero	O
pertencer	O
''	O
,	O
concluiu.	O
Também	O
o	O
Presidente	B-PESSOA_CARGO
da	O
Comissão	B-ORGANIZACAO_ADMINISTRACAO
Europeia	I-ORGANIZACAO_ADMINISTRACAO
,	O
José	B-PESSOA_INDIVIDUAL
Manuel	I-PESSOA_INDIVIDUAL
Durão	I-PESSOA_INDIVIDUAL
BARROSO	I-PESSOA_INDIVIDUAL
,	O
declarou	O
que	O
,	O
com	O
a	O
Carta	B-OBRA_PLANO
dos	I-OBRA_PLANO
Direitos	I-OBRA_PLANO
Fundamentais	I-OBRA_PLANO
,	O
a	O
Europa	B-ORGANIZACAO_ADMINISTRACAO
está	O
``	O
mais	O
equipada	O
para	O
levar	O
a	O
cabo	O
o	O
seu	O
combate	O
pela	O
liberdade	O
,	O
democracia	O
e	O
paz	O
''	O
.	O
''	O
A	O
Carta	B-OBRA_PLANO
encorajará	O
a	O
UE	B-ORGANIZACAO_ADMINISTRACAO
numa	O
verdadeira	O
cultura	O
dos	O
direitos	O
fundamentais.	O
Comprometemo-nos	O
,	O
sobretudo	O
,	O
a	O
respeitar	O
os	O
nossos	O
próprios	O
direitos.	O
Pode	O
parecer	O
fácil	O
de	O
assumir	O
,	O
mas	O
é	O
,	O
na	O
verdade	O
,	O
um	O
verdadeiro	O
desafio	O
quotidiano	O
''	O
,	O
salientou	O
BARROSO	B-PESSOA_INDIVIDUAL
.	O
''	O
Trata-se	O
de	O
um	O
êxito	O
extraordinário	O
de	O
que	O
a	O
UE	B-ORGANIZACAO_ADMINISTRACAO
se	O
deve	O
sentir	O
orgulhosa.	O
É	O
particularmente	O
importante	O
que	O
aconteça	O
numa	O
Europa	B-ORGANIZACAO_ADMINISTRACAO
alargada	O
que	O
esteve	O
dividia	O
por	O
regimes	O
ditatoriais.	O
Se	O
conjugarmos	O
esforços	O
para	O
estimular	O
esta	O
cultura	O
de	O
direitos	O
humanos	O
,	O
daremos	O
um	O
contributo	O
essencial	O
para	O
uma	O
Europa	B-ORGANIZACAO_ADMINISTRACAO
de	O
valores	O
''	O
,	O
concluiu.	O
Depois	O
de	O
a	O
Carta	B-OBRA_PLANO
ser	O
assinada	O
pelos	O
Presidentes	B-PESSOA_GRUPOCARGO
das	O
três	O
instituições	O
,	O
ouviu-se	O
o	O
hino	O
europeu	O
no	O
hemiciclo	O
de	O
Estrasburgo	B-LOCAL_HUMANO
.	O
A	O
cerimónia	O
de	O
proclamação	O
foi	O
interrompida	O
em	O
diversas	O
ocasiões	O
por	O
uma	O
minoria	O
de	O
deputados	O
que	O
protestaram	O
nas	O
últimas	O
bancadas	O
do	O
hemiciclo	O
,	O
exigindo	O
a	O
realização	O
de	O
um	O
referendo	O
ao	O
Tratado	B-OBRA_PLANO
de	I-OBRA_PLANO
Lisboa	I-OBRA_PLANO
.	O
Os	O
protestos	O
foram	O
calados	O
pelos	O
aplausos	O
da	O
maioria	O
dos	O
eurodeputados	O
e	O
pelo	O
próprio	O
Presidente	B-PESSOA_CARGO
do	O
Conselho	B-ORGANIZACAO_ADMINISTRACAO
,	O
no	O
início	O
do	O
seu	O
discurso	O
:	O
``	O
Por	O
mais	O
que	O
muitos	O
gritem	O
tentando	O
impedir	O
os	O
outros	O
de	O
falar	O
,	O
esta	O
é	O
uma	O
data	O
fundamental	O
da	O
história	O
europeia	O
''	O
,	O
afirmou	O
José	B-PESSOA_INDIVIDUAL
SÓCRATES	I-PESSOA_INDIVIDUAL
.	O
O	O
líder	B-PESSOA_CARGO
do	I-PESSOA_CARGO
PPE/DE	I-PESSOA_CARGO
,	O
Joseph	B-PESSOA_INDIVIDUAL
DAUL	I-PESSOA_INDIVIDUAL
,	O
criticou	O
os	O
protestos	O
,	O
afirmando	O
que	O
o	O
PE	B-ORGANIZACAO_ADMINISTRACAO
é	O
``	O
um	O
hemiciclo	O
onde	O
reina	O
a	O
democracia	O
''	O
não	O
sendo	O
,	O
por	O
isso	O
,	O
``	O
digno	O
actuar	O
desta	O
maneira	O
''	O
.	O
No	O
mesmo	O
registo	O
,	O
Martin	B-PESSOA_INDIVIDUAL
SCHULZ	I-PESSOA_INDIVIDUAL
(	O
PSE	B-ORGANIZACAO_INSTITUICAO
,	O
DE	B-ORGANIZACAO_INSTITUICAO
)	O
,	O
líder	B-PESSOA_CARGO
do	I-PESSOA_CARGO
PSE	I-PESSOA_CARGO
,	O
recordou	O
que	O
,	O
na	O
República	B-ACONTECIMENTO_EVENTO
de	I-ACONTECIMENTO_EVENTO
Weimar	I-ACONTECIMENTO_EVENTO
,	O
se	O
queria	O
acabar	O
com	O
os	O
inimigos	O
em	O
forma	O
de	O
coro	O
e	O
quem	O
dirigia	O
esse	O
coro	O
era	O
Hitler	B-PESSOA_INDIVIDUAL
``	O
.	O
Do	O
grupo	O
ALDE	B-ORGANIZACAO_INSTITUICAO
,	O
Graham	B-PESSOA_INDIVIDUAL
WATSON	I-PESSOA_INDIVIDUAL
lançou	O
uma	O
petição	O
para	O
que	O
a	O
Presidência	B-PESSOA_GRUPOCARGO
do	O
PE	B-ORGANIZACAO_ADMINISTRACAO
use	O
os	O
poderes	O
que	O
lhe	O
confere	O
o	O
regimento	O
``	O
para	O
mandar	O
embora	O
um	O
deputado	O
que	O
se	O
comporte	O
de	O
maneira	O
indigna	O
''	O
:	O
``	O
Uma	O
atitude	O
como	O
esta	O
não	O
se	O
pode	O
tolerar	O
e	O
traz-nos	O
o	O
pior	O
de	O
um	O
estádio	O
de	O
futebol	O
''	O
,	O
afirmou.	O
Francis	B-PESSOA_INDIVIDUAL
WURTZ	I-PESSOA_INDIVIDUAL
,	O
da	O
CEUE/EVN	B-ORGANIZACAO_INSTITUICAO
,	O
condenou	O
``	O
de	O
maneira	O
absoluta	O
as	O
declarações	O
antieuropeias	O
e	O
indignas	O
''	O
que	O
se	O
ouviram	O
no	O
hemiciclo	O
:	O
``	O
O	O
meu	O
grupo	O
está	O
a	O
favor	O
de	O
um	O
referendo	O
,	O
mas	O
opõe-se	O
a	O
acções	O
como	O
esta	O
''	O
,	O
afirmou.	O
Também	O
o	O
co-presidente	B-PESSOA_CARGO
dos	I-PESSOA_CARGO
Verdes/ALE	I-PESSOA_CARGO
,	O
Daniel	B-PESSOA_INDIVIDUAL
COHN-BENDIT	I-PESSOA_INDIVIDUAL
,	O
se	O
mostrou	O
``	O
consternado	O
''	O
com	O
o	O
ocorrido	O
,	O
mas	O
pediu	O
que	O
não	O
se	O
dramatize	O
a	O
situação	O
:	O
``	O
Há	O
50	B-VALOR_QUANTIDADE
loucos	O
mas	O
há	O
700	B-VALOR_QUANTIDADE
sãos	O
''	O
;	O
``	O
não	O
peçamos	O
a	O
expulsão	O
destes	O
loucos	O
porque	O
um	O
Parlamento	B-ORGANIZACAO_ADMINISTRACAO
livre	O
é	O
aquele	O
que	O
aguenta	O
os	O
loucos	O
que	O
lhe	O
são	O
desagradáveis	O
''	O
.	O
Da	O
mesma	O
forma	O
,	O
para	O
Brian	B-PESSOA_INDIVIDUAL
CROWLEY	I-PESSOA_INDIVIDUAL
,	O
da	O
UEN	B-ORGANIZACAO_INSTITUICAO
,	O
o	O
ocorrido	O
``	O
superou	O
o	O
permissível	O
''	O
.	O
Do	O
grupo	O
IND/DEM	B-ORGANIZACAO_INSTITUICAO
,	O
Jens-Peter	B-PESSOA_INDIVIDUAL
BONDE	I-PESSOA_INDIVIDUAL
assinalou	O
que	O
,	O
pessoalmente	O
,	O
não	O
participou	O
nos	O
protestos	O
mas	O
que	O
vestiu	O
a	O
camisola	O
com	O
a	O
referência	O
à	O
realização	O
de	O
um	O
referendo	O
,	O
que	O
faz	O
parte	O
da	O
vida	O
democrática.	O
Consultar	O
http	O
:	O
//www.eu2007.pt/UE/vPT/Noticias_Documentos/20071212DiscursoPM.htm	O
Discurso	O
de	O
José	B-PESSOA_INDIVIDUAL
Sócrates	I-PESSOA_INDIVIDUAL
na	O
cerimónia	O
de	O
Proclamação	B-ACONTECIMENTO_EVENTO
da	I-ACONTECIMENTO_EVENTO
Carta	I-ACONTECIMENTO_EVENTO
dos	I-ACONTECIMENTO_EVENTO
Direitos	I-ACONTECIMENTO_EVENTO
Fundamentais	I-ACONTECIMENTO_EVENTO
NOME	O
:	O
COLETIVOS	O
,	O
SENHA	O
:	O
COLABORAÇÃO	O
Ricardo	B-PESSOA_INDIVIDUAL
Rosas	I-PESSOA_INDIVIDUAL
A	O
recente	O
onda	O
dos	O
coletivos	O
artísticos	O
e	O
ativistas	O
(	O
ou	O
``	O
artivistas	O
''	O
)	O
no	O
Brasil	B-LOCAL_HUMANO
tem	O
chamado	O
a	O
atenção	O
da	O
mídia	O
mainstream	O
para	O
um	O
fenômeno	O
de	O
proporções	O
bem	O
maiores	O
e	O
razões	O
mais	O
profundas	O
que	O
a	O
vã	O
filosofia	O
dos	O
cadernos	O
culturais	O
poderia	O
imaginar.	O
Pouco	O
compreendida	O
,	O
a	O
dinâmica	O
destas	O
articulações	O
chega	O
assim	O
maquiada	O
com	O
um	O
verniz	O
espetaculoso	O
e	O
superficial	O
que	O
,	O
ao	O
que	O
parece	O
,	O
tenta	O
esconder	O
o	O
pano	O
de	O
fundo	O
crítico	O
e	O
instrumental	O
desses	O
grupos.	O
Muitas	B-TEMPO_FREQUENCIA
vezes	I-TEMPO_FREQUENCIA
passageiros	O
como	O
um	O
casual	O
flashmob	O
,	O
outras	O
vezes	O
organizados	O
e	O
duradouros	O
como	O
uma	O
associação	O
,	O
tais	O
ajuntamentos	O
são	O
na	O
verdade	O
indícios	O
de	O
uma	O
mutação	O
maior	O
que	O
está	O
se	O
dando	O
tanto	O
na	O
esfera	O
tecnológica	O
quanto	O
na	O
social.	O
Coletivos	O
,	O
em	O
si	O
,	O
nada	O
têm	O
de	O
novo.	O
Já	O
são	O
uma	O
tradição	O
na	O
arte	O
,	O
na	O
literatura	O
,	O
que	O
percorreu	O
todo	B-TEMPO_GENERICO
o	I-TEMPO_GENERICO
século	I-TEMPO_GENERICO
vinte	I-TEMPO_GENERICO
,	O
aqui	O
como	O
lá	O
fora.	O
Segundo	O
o	O
historiador	O
de	O
coletivos	O
artísticos	O
Alan	B-PESSOA_INDIVIDUAL
Moore	I-PESSOA_INDIVIDUAL
(	O
1	O
)	O
,	O
seu	O
ponto	O
de	O
partida	O
foi	O
logo	O
após	O
a	O
Revolução	B-ACONTECIMENTO_EFEMERIDE
Francesa	I-ACONTECIMENTO_EFEMERIDE
,	O
com	O
os	O
estudantes	O
de	O
Jacques-Louis	B-PESSOA_INDIVIDUAL
David	I-PESSOA_INDIVIDUAL
,	O
os	O
barbados	O
,	O
ou	O
``	O
Barbu	B-PESSOA_GRUPOMEMBRO
``	O
,	O
que	O
formaram	O
uma	O
comunidade	O
criativa	O
que	O
viria	O
a	O
ser	O
chamada	O
de	O
Boêmia	B-ABSTRACCAO_NOME
,	O
espécie	O
de	O
nação	O
imaginária	O
espiritual	O
de	O
artistas	O
-cujo	O
nome	O
provinha	O
de	O
uma	O
nação	O
de	O
verdade	O
e	O
geraria	O
a	O
idealização	O
do	O
estilo	O
de	O
vida	O
``	O
boêmio	O
''	O
-	O
,	O
compondo	O
um	O
contraponto	O
à	O
academia	O
oficial.	O
Desde	O
então	O
,	O
o	O
fenômeno	O
tem	O
ocasionalmente	B-TEMPO_FREQUENCIA
se	O
repetido	O
ao	O
longo	O
da	O
história	O
da	O
arte	O
,	O
como	O
o	O
Arts	B-ABSTRACCAO_DISCIPLINA
and	I-ABSTRACCAO_DISCIPLINA
Crafts	I-ABSTRACCAO_DISCIPLINA
na	O
Inglaterra	B-LOCAL_HUMANO
vitoriana	O
,	O
dadaístas	O
,	O
situacionistas	O
,	O
Fluxus	B-PESSOA_GRUPOMEMBRO
,	O
numa	O
lista	O
quase	O
infinita	O
de	O
grupos	O
dos	O
mais	O
diversos	O
tipos.	O
No	O
Brasil	B-LOCAL_HUMANO
,	O
eles	O
remontam	O
ao	B-TEMPO_TEMPO_CALEND
século	I-TEMPO_TEMPO_CALEND
dezenove	I-TEMPO_TEMPO_CALEND
,	O
com	O
o	O
grupo	O
dos	O
românticos	O
em	O
São	B-LOCAL_HUMANO
Paulo	I-LOCAL_HUMANO
,	O
os	O
grupelhos	O
de	O
poetas	O
simbolistas	O
,	O
os	O
modernistas	O
da	B-TEMPO_TEMPO_CALEND
década	I-TEMPO_TEMPO_CALEND
de	I-TEMPO_TEMPO_CALEND
1920	I-TEMPO_TEMPO_CALEND
,	O
o	O
grupo	O
antropofágico	O
,	O
os	O
concretistas	O
nos	B-TEMPO_TEMPO_CALEND
anos	I-TEMPO_TEMPO_CALEND
1950	I-TEMPO_TEMPO_CALEND
,	O
o	O
coletivo	O
Rex	B-PESSOA_GRUPOMEMBRO
de	O
artistas	O
na	B-TEMPO_TEMPO_CALEND
década	I-TEMPO_TEMPO_CALEND
seguinte	I-TEMPO_TEMPO_CALEND
,	O
3Nós3	B-PESSOA_GRUPOMEMBRO
e	O
Manga	B-PESSOA_GRUPOMEMBRO
Rosa	I-PESSOA_GRUPOMEMBRO
na	B-TEMPO_TEMPO_CALEND
década	I-TEMPO_TEMPO_CALEND
de	I-TEMPO_TEMPO_CALEND
1970	I-TEMPO_TEMPO_CALEND
,	O
Tupi	B-PESSOA_GRUPOMEMBRO
Não	I-PESSOA_GRUPOMEMBRO
Dá	I-PESSOA_GRUPOMEMBRO
,	O
ou	O
os	O
mais	O
recentes	O
Neo-Tao	B-PESSOA_GRUPOMEMBRO
e	O
Mico	B-PESSOA_GRUPOMEMBRO
,	O
entre	O
inúmeros	O
outros.	O
O	O
que	O
diferencia	O
a	O
atual	O
voga	O
de	O
movimentações	O
coletivas	O
no	O
Brasil	B-LOCAL_HUMANO
são	O
o	O
caráter	O
político	O
de	O
boa	O
parte	O
delas	O
,	O
assim	O
como	O
o	O
uso	O
que	O
muitas	O
fazem	O
da	O
internet	O
,	O
seja	O
via	O
listas	O
de	O
discussão	O
,	O
websites	O
,	O
fotologs	O
e	O
blogs	O
ou	O
simplesmente	O
comunicação	O
e	O
ações	O
planejadas	O
por	O
e-mail.	O
Na	O
Europa	B-LOCAL_HUMANO
e	O
nos	O
EUA	B-LOCAL_HUMANO
,	O
a	O
fusão	O
de	O
arte	O
e	O
política	O
já	O
estava	O
presente	O
nos	O
dadaístas	O
e	O
surrealistas	O
,	O
e	O
representou	O
o	O
ponto	O
fundamental	O
dos	O
situacionistas	O
no	O
pós-guerra	O
,	O
e	O
desde	O
então	O
essa	O
mescla	O
tem	O
se	O
dado	O
em	O
vários	O
grupos	O
que	O
atuam	O
na	O
fronteira	O
ativismo/arte	O
,	O
como	O
o	O
Arte	B-ABSTRACCAO_DISCIPLINA
&	I-ABSTRACCAO_DISCIPLINA
amp	I-ABSTRACCAO_DISCIPLINA
;	I-ABSTRACCAO_DISCIPLINA
Linguagem	I-ABSTRACCAO_DISCIPLINA
,	O
Art	B-ABSTRACCAO_DISCIPLINA
Workers	I-ABSTRACCAO_DISCIPLINA
Coalition	I-ABSTRACCAO_DISCIPLINA
,	O
Black	B-ABSTRACCAO_DISCIPLINA
Mask	I-ABSTRACCAO_DISCIPLINA
,	O
neoístas	O
,	O
Gran	B-ABSTRACCAO_DISCIPLINA
Fury	I-ABSTRACCAO_DISCIPLINA
,	O
Group	B-ABSTRACCAO_DISCIPLINA
Material	I-ABSTRACCAO_DISCIPLINA
,	O
PAD/D	B-ABSTRACCAO_DISCIPLINA
,	O
Guerrilla	B-ABSTRACCAO_DISCIPLINA
Girls	I-ABSTRACCAO_DISCIPLINA
,	O
ou	O
os	O
mais	O
recentes	O
Luther	B-ABSTRACCAO_DISCIPLINA
Blissett	I-ABSTRACCAO_DISCIPLINA
Project	I-ABSTRACCAO_DISCIPLINA
,	O
RTmark	B-ABSTRACCAO_DISCIPLINA
,	O
Etoy	B-ABSTRACCAO_DISCIPLINA
,	O
Critical	B-ABSTRACCAO_DISCIPLINA
Art	I-ABSTRACCAO_DISCIPLINA
Ensemble	I-ABSTRACCAO_DISCIPLINA
,	O
boa	O
parte	O
destes	O
últimos	O
atuando	O
diretamente	O
com	O
alta	O
tecnologia	O
,	O
no	O
que	O
se	O
tem	O
atualmente	O
denominado	O
de	O
mídia	O
tática.	O
Se	O
essa	O
junção	O
sempre	O
esteve	O
presente	O
lá	O
fora	O
,	O
o	O
atual	O
beco	O
sem	O
saída	O
do	O
neoliberalismo	O
parece	O
haver	O
despertado	O
a	O
consciência	O
de	O
vários	O
grupos	O
no	O
Brasil	B-LOCAL_HUMANO
,	O
que	O
passaram	O
a	O
criar	O
fora	O
das	O
instituições	O
estabelecidas	O
com	O
performances	O
,	O
intervenções	O
urbanas	O
,	O
festas	O
,	O
tortadas	O
,	O
filmagens	O
in	O
loco	O
de	O
protestos	O
e	O
manifestações	O
,	O
ocupações	O
,	O
trabalhos	O
com	O
movimentos	O
sociais	O
,	O
culture	O
jamming	O
e	O
ativismo	O
de	O
mídia.	O
À	O
diferença	O
dos	O
coletivos	O
high	O
tech	O
europeus	O
e	O
americanos	O
,	O
os	O
coletivos	O
brasileiros	O
atuam	O
nos	O
interstícios	O
das	O
práticas	O
tradicionais	O
da	O
cultura	O
instituída	O
,	O
em	O
ações	O
até	O
agora	O
de	O
um	O
víes	O
mais	O
low	O
tech.	O
Mesmo	O
assim	O
,	O
a	O
maioria	O
deles	O
surgem	O
ou	O
agem	O
graças	O
à	O
internet.	O
Alguns	O
,	O
como	O
o	O
Expressão	B-ABSTRACCAO_DISCIPLINA
Sarcástica	I-ABSTRACCAO_DISCIPLINA
,	O
Vitoriamario	B-ABSTRACCAO_DISCIPLINA
,	O
Poro	B-ABSTRACCAO_DISCIPLINA
,	O
TEMP	B-ABSTRACCAO_DISCIPLINA
,	O
BaseV	B-ABSTRACCAO_DISCIPLINA
,	O
ou	O
Cocadaboa	B-ABSTRACCAO_DISCIPLINA
,	O
possuem	O
seus	O
próprios	O
sites.	O
Outros	O
,	O
como	O
o	O
CORO	B-ABSTRACCAO_DISCIPLINA
,	O
um	O
grupo	O
que	O
pretende	O
mapear	O
todos	O
os	O
coletivos	O
em	O
ação	O
no	O
Brasil	B-LOCAL_HUMANO
,	O
ou	O
a	O
Universidade	B-ABSTRACCAO_DISCIPLINA
do	I-ABSTRACCAO_DISCIPLINA
Fora	I-ABSTRACCAO_DISCIPLINA
,	O
entre	O
outros	O
,	O
funcionam	O
com	O
lista	O
de	O
discussão.	O
Blogs	O
também	O
hospedam	O
grupos	O
com	O
identidade	O
virtual	O
à	O
Luther	B-ABSTRACCAO_IDEIA
Blissett	I-ABSTRACCAO_IDEIA
,	O
como	O
o	O
Ari	B-PESSOA_GRUPOMEMBRO
Almeida	I-PESSOA_GRUPOMEMBRO
ou	O
Timóteo	B-PESSOA_GRUPOMEMBRO
Pinto	I-PESSOA_GRUPOMEMBRO
,	O
enquanto	O
os	O
fotologs	O
tem	O
